Glyph Code: 9b8b76d986588edee76d629724839e10, Text: H, Unicode: 72, Font Size: 11.039999999999964, Position: (101.33, 722.74), Page: 0
Glyph Code: ed02bf601daf63961dcaf2020f5820f8, Text: i, Unicode: 105, Font Size: 11.039999999999964, Position: (108.29624, 722.74), Page: 0
Glyph Code: 75df3175164654a9543afd8dea451c95, Text: n, Unicode: 110, Font Size: 11.039999999999964, Position: (110.9348, 722.74), Page: 0
Glyph Code: 25a555359931dd17f372fb217c420b71, Text: d, Unicode: 100, Font Size: 11.039999999999964, Position: (116.91847999999999, 722.74), Page: 0
Glyph Code: 98372f42c5a0f0a0951367fff204095f, Text: i, Unicode: 105, Font Size: 11.039999999999964, Position: (122.90216, 722.74), Page: 0
Glyph Code: 55a65089323b0ed95d0daa2f134f7903, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (125.54072, 722.74), Page: 0
Glyph Code: 981a2108c3b551424d30bfcb79df8602, Text: I, Unicode: 73, Font Size: 11.039999999999964, Position: (127.93639999999999, 722.74), Page: 0
Glyph Code: 14b82e2f360deb35987c67f395594052, Text: n, Unicode: 110, Font Size: 11.039999999999964, Position: (130.81784, 722.74), Page: 0
Glyph Code: ff05dd21e9981858f311fdacb1288115, Text: d, Unicode: 100, Font Size: 11.039999999999964, Position: (136.80151999999998, 722.74), Page: 0
Glyph Code: 69c634b249a91c0b3fedc4ac852045a8, Text: i, Unicode: 105, Font Size: 11.039999999999964, Position: (142.7852, 722.74), Page: 0
Glyph Code: 254b596fd43e883fa64781c65a4965bc, Text: c, Unicode: 99, Font Size: 11.039999999999964, Position: (145.42376, 722.74), Page: 0
Glyph Code: 2dd9c96b22d0110695293013faa5d25e, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (149.98327999999998, 722.74), Page: 0
Glyph Code: 706da6e30aad8ee250022dc8220f15e0, Text: I, Unicode: 73, Font Size: 11.039999999999964, Position: (152.45, 722.74), Page: 0
Glyph Code: c0decf25ed81a73770e67f724da86d32, Text: n, Unicode: 110, Font Size: 11.039999999999964, Position: (155.33144, 722.74), Page: 0
Glyph Code: 7a2786579d95c5b310a89a53263ea06f, Text: p, Unicode: 112, Font Size: 11.039999999999964, Position: (161.31511999999998, 722.74), Page: 0
Glyph Code: c7a6249d4dde3b3826edf2a08762b628, Text: u, Unicode: 117, Font Size: 11.039999999999964, Position: (167.29879999999997, 722.74), Page: 0
Glyph Code: 81be6274f29224af7f50c219a87f63ae, Text: t, Unicode: 116, Font Size: 11.039999999999964, Position: (173.28248, 722.74), Page: 0
Glyph Code: 136e906e99c6a06b24581f7f3929be6b, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (177.11336, 722.74), Page: 0
Glyph Code: a12b74ebba5262522b50420cd139059f, Text: 3, Unicode: 51, Font Size: 11.039999999999964, Position: (179.52007999999998, 722.74), Page: 0
Glyph Code: 9d6203a9f962105d3941a275bae70f54, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (185.11, 722.74), Page: 0
Glyph Code: 38999ac5c60d1e4abe4d2b58aef831bb, Text: f, Unicode: 102, Font Size: 11.039999999999964, Position: (187.51, 722.74), Page: 0
Glyph Code: 5fe79884de4aea676789582d3b19d7e1, Text: r, Unicode: 114, Font Size: 11.039999999999964, Position: (190.8772, 722.74), Page: 0
Glyph Code: 6821604153963d3f6b50de8c345babed, Text: o, Unicode: 111, Font Size: 11.039999999999964, Position: (194.73015999999998, 722.74), Page: 0
Glyph Code: d87ed147a03f04c5be08528bed5dcfc5, Text: m, Unicode: 109, Font Size: 11.039999999999964, Position: (200.47096, 722.74), Page: 0
Glyph Code: f10d4360d75c16437b702dfc99c9b5dc, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (209.33607999999998, 722.74), Page: 0
Glyph Code: c8762caa12857d7da7d9b787161b51ce, Text: t, Unicode: 116, Font Size: 11.039999999999964, Position: (211.73175999999998, 722.74), Page: 0
Glyph Code: beaa00b41cc116311a69c3c5f924f093, Text: h, Unicode: 104, Font Size: 11.039999999999964, Position: (215.33079999999998, 722.74), Page: 0
Glyph Code: f28e4171b69de8e6946c0e7879f0878a, Text: e, Unicode: 101, Font Size: 11.039999999999964, Position: (221.09368, 722.74), Page: 0
Glyph Code: ae9c8ea9a3d28d0a84be2aa57492ac5f, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (226.5916, 722.74), Page: 0
Glyph Code: 21503c8c8502044094ca881b0d0ee12d, Text: s, Unicode: 115, Font Size: 11.039999999999964, Position: (229.00936, 722.74), Page: 0
Glyph Code: 7863d20278d098d8d465c04ac7675d48, Text: h, Unicode: 104, Font Size: 11.039999999999964, Position: (233.326, 722.74), Page: 0
Glyph Code: e5eca3f884da3d5d2b1c651425579ae4, Text: o, Unicode: 111, Font Size: 11.039999999999964, Position: (239.12199999999999, 722.74), Page: 0
Glyph Code: e45eb729096314a12d49e7b8b72adad0, Text: r, Unicode: 114, Font Size: 11.039999999999964, Position: (244.85175999999998, 722.74), Page: 0
Glyph Code: 3fe359b1096933f8d7cfc858b22559dc, Text: t, Unicode: 116, Font Size: 11.039999999999964, Position: (248.70472, 722.74), Page: 0
Glyph Code: 98530828dbd9f422f42dd78517381cd4, Text: c, Unicode: 99, Font Size: 11.039999999999964, Position: (252.52456, 722.74), Page: 0
Glyph Code: 754bd7ad031f49bcfc85b879efa754d9, Text: u, Unicode: 117, Font Size: 11.039999999999964, Position: (257.08408000000003, 722.74), Page: 0
Glyph Code: 824dfbeb626ac8ee1469297f2d604b36, Text: t, Unicode: 116, Font Size: 11.039999999999964, Position: (262.84696, 722.74), Page: 0
Glyph Code: 353c2f2603bef4a95e777209cf3891c6, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (266.67784000000006, 722.74), Page: 0
Glyph Code: 5b07cf966b7a936bc96154b974a96d06, Text: m, Unicode: 109, Font Size: 11.039999999999964, Position: (269.07352000000003, 722.74), Page: 0
Glyph Code: 17559bfa95d9f1024ec2ba6dd4fc7feb, Text: e, Unicode: 101, Font Size: 11.039999999999964, Position: (277.93864, 722.74), Page: 0
Glyph Code: db83c1510183953033f36db4ff58a7c1, Text: n, Unicode: 110, Font Size: 11.039999999999964, Position: (283.43656000000004, 722.74), Page: 0
Glyph Code: b530a2644f1dbfbde0e71382f5cae0f9, Text: u, Unicode: 117, Font Size: 11.039999999999964, Position: (289.23256000000003, 722.74), Page: 0
Glyph Code: 15f391308c948c11ac1b84a39284877d, Text:  , Unicode: 32, Font Size: 11.039999999999964, Position: (294.97336, 722.74), Page: 0
Glyph Code: 3b0c2eafef30a934df7d3c49e7cabbfb, Text: t, Unicode: 116, Font Size: 11.039999999999964, Position: (297.36904000000004, 722.74), Page: 0
Glyph Code: c5eec1affc5bf3c507b96160649dca08, Text: h, Unicode: 104, Font Size: 11.039999999999964, Position: (300.96808000000004, 722.74), Page: 0
Glyph Code: 74b548b65274a2b7dc4f0281b5fe6892, Text: a, Unicode: 97, Font Size: 11.039999999999964, Position: (306.73096000000004, 722.74), Page: 0
Glyph Code: 7fae0f05b2a66f9dab25803f49a3b3b3, Text: t, Unicode: 116, Font Size: 11.039999999999964, Position: (312.01912000000004, 722.74), Page: 0
